mcq_label,question_text,ques_type,ques_for_assessment_type,choiceA,choiceB,choiceC,choiceD,choiceE,correctChoice,puzzle_answer,difficultyLevel
React-placement,You need nested components to use data provided by another component that is much higher in the hierarchy. How can you avoid prop drilling?,Multiple Choice Question,"1, 2, 3, 4",Use Redux,Use React context,Handle state manually.,All of above,,D,,LEVEL 3
PHP,"<code>
<?php
$a = 0;

if($a = 0)
{
  echo ""Sun"";   
}
else
{
  echo ""Moon"";
}
?>
</code>",Multiple Choice Question,"1, 2, 3, 4",Sun,Moon,Error,None of these,,B,-,LEVEL 3
Node,"Child processes always have three streams child.stdin, child.stdout, and child.stderr which may be shared with the stdio streams of the parent process.",Multiple Choice Question,"1, 2, 3, 4",TRUE,FALSE,All of the above,None,,A,-,LEVEL 1
17jul-march-htmlcss,Which one of the following is the replacement of the cookies in html5?,Multiple Choice Question,"1, 2, 3, 4",Local Storage,Session Storage,Html storage,None of the above,,A,-,LEVEL 2
CSS,Which of the following CSS code will set the font-weight to bold on all span tags that have a div tag as a preceding sibling.,Multiple Choice Question,"1, 2, 3, 4",div&gt;span {font-weight:bold;},div+span {font-weight:bold;},div~span {font-weight:bold;},div==span {font-weight:bold;},-,C,,LEVEL 2
CSS,"Examine the HTML and accompanying CSS below.<br><br>&lt; p id=""opening-paragraph"" class=""dorothea"" &gt;Miss Brooke had that kind of beauty which seems to be thrown into relief by poor dress.&lt; /p &gt;<br><br>#opening-paragraph { color: blue; }<br>.dorothea { color: red; }<br><br>With which color will the paragraph appear on the page?",Multiple Choice Question,"1, 2, 3, 4",green,blue,red,black (the default),-,B,,LEVEL 2
HTML,What is the correct HTML element for inserting a line break?,Multiple Choice Question,"1, 2, 3, 4",&lt;lb&gt;,&lt;break&gt;,&lt;br&gt;,,-,C,-,LEVEL 2
Javascript,What will happen if the first argument of open() is omitted?,Multiple Choice Question,"1, 2, 3, 4",Error Page,Remains in the same page,about:blank,None of the mentioned,,B,,LEVEL 2
React,<br>Which Hook could be used to update the document's title?,Multiple Choice Question,"1, 2, 3, 4",useEffect(function updateTitle() { document.title = name + ' ' + lastname; });,useEffect(() =&gt; { title = name + ' ' + lastname; });,useEffect(function updateTitle() { name + ' ' + lastname; });,useEffect(function updateTitle() { title = name + ' ' + lastname; });,,A,-,LEVEL 1
JS Math,"Consider the below code snippet.
function operateWith(a,b, operatorFunction) {
	return operatorFunction(b, a)
}
operateWith(9, 8, function(x, y) {
	return Math.ceil(x*y+y/x)
})

What is the output?",Multiple Choice Question,"1, 2, 3, 4",Error,undefined,74,73,,C,-,LEVEL 1
CSS,Which of the following method rotates an element around its Y-axis at a given degree using tranform 3D?,Multiple Choice Question,"1, 2, 3, 4",rotateY(),rotate-Y(),rotate-Yaxis(),none of the mentioned,-,A,,LEVEL 2
ValueVsReference and Scopes,"If a function is called with missing arguments (less than declared), the missing values are set to undefined",Multiple Choice Question,"1, 2, 3, 4",FALSE,TRUE,,,,B,-,LEVEL 1
Python - Sets,"What will be the output of the following Python code?
<code>
 a={5,6,7,8}
b={7,8,10,11}
a^b
</code>",Multiple Choice Question,"1, 2, 3, 4","{5,6,7,8,10,11}","{7,8}",Error as unsupported operand type of set data type,"{5,6,10,11}",,D,-,LEVEL 1
CSS,"Which of the following property influences the horizontal alignment of an element, making it “float” toward the left or",Multiple Choice Question,"1, 2, 3, 4",float,float-left,float-right,float-align,-,D,,LEVEL 3
HTML,"Which HTML attribute specifies an alternate text for an image, if the image cannot be displayed?",Multiple Choice Question,"1, 2, 3, 4",alt,longdesc,title,src,-,A,,LEVEL 2
Aptitude - Ages,"In 10 years, A will be twice as old as b was10 years ago. If A is now 9 years older than B the present age of A is?",Multiple Choice Question,"1, 2, 3, 4",29,39,19,48,,D,-,LEVEL 1
Python - Sets,"What will be the output of the following Python code?
<code>
a={5,4}
b={1,2,4,5}
a &lt; b
</code>",Multiple Choice Question,"1, 2, 3, 4","{1,2}",TRUE,FALSE,Invalid operation,,B,-,LEVEL 1
Js Advanced,"What will be the output of the following JavaScript code? <br /> <br />set.add(""1""); <br />set.add(""2""); <br />document.writeln(set.has(""3""));",Multiple Choice Question,"1, 2, 3, 4",3,TRUE,FALSE,2,,C,-,LEVEL 3
Javascript,How is the render time calculated ?,Multiple Choice Question,"1, 2, 3, 4",Date.Now() - performance.domLoading,performance.domLoading,Date.Now(),Date.Now() - performance.timing.domLoading,,D,,LEVEL 3
Javascript,Which is a possible way of finding all the img elements in the document ?,Multiple Choice Question,"1, 2, 3, 4",document.images[] c. document(img),document(images),All of the Above,None of the Above,,A,,LEVEL 2
Aptitude - Ages,Madhu got married 6 years ago. Today her age is 125 % times her age at the time of marriage. Her son’s age is one-tenth of her age. Her son’s age is,Multiple Choice Question,"1, 2, 3, 4",3 years,5 years,4 years,6 years,,A,-,LEVEL 2
August Entrance Section - A,"If X + Y means “X is the daughter of Y”, X * Y means “X is the son of Y” and X-Y means “X is the wife of Y”, then in the expression “<b>Z * T - S * U - P</b>”, What is U to Z?",Multiple Choice Question,"1, 2, 3, 4",Mother,Father,Grandmother,None of these,,C,-,LEVEL 1
Node,"Carefully study the given code that is calling the loadJSON method and answer the question that follows.<br><br>loadJSON('new.json', function (err, data)<br><br>{ if(err)console.log('Error in file reading', err.message);<br><br>else<br><br>console.log(data);<br><br>});<br><br>Which of the following is the correct function definition of the loadJSON method such that if a file named ""new.json"" is present in the project, then its data is displayed, otherwise error message (error in file reading) is displayed?",Multiple Choice Question,"1, 2, 3, 4","function loadJSON(file_name, arg){<br><br>file1.readFile(file_name, function(error1, data){ if(error1)return arg(); arg(null, JSON.parse(data)); } catch(error1) { return arg(error1);<br><br>try{<br><br>}<br><br>return arg(null);<br><br>}); }","function loadJSON(file_name, arg){<br><br>file1.readFile(file_name, function(error1,<br><br>data){<br><br>if(error1)return arg(error1);<br><br>try{<br><br>var new_parse =JSON.parse(); }<br><br>catch(error1) {<br><br>return arg(error1); }<br><br>return arg(new_parse);<br><br>}); }","var file1 = require('fs');<br><br>function loadJSON (file_name, arg)}{<br><br>file1.readFile(file_name, function(error1, data){<br><br>if(error1)return arg(error1);<br><br>try{<br><br>var new_parse =JSON.parse(data); }<br><br>catch(error1) {<br><br>return arg(error1); }<br><br>return arg(null, new_parse);<br><br>}); }","function loadJSON (file_name, arg){<br><br>fs.readFile(file_name, function(error1, data){<br><br>if(error1){<br><br>try{<br><br>arg(null, JSON.parse(data));<br><br>}<br><br>catch(error1) {<br><br>arg(file_name);<br><br>}}<br><br>}); }",,C,-,LEVEL 2
JS Closure and Scope,What is the purpose of a return statement in a function?,Multiple Choice Question,"1, 2, 3, 4","Returns the value and continues executing rest of the statements, if any",Returns the value and stops the program,Returns the value and stops executing the function,Stops executing the function and returns the value,,D,-,LEVEL 1
Js-easy-5jul,The web development environment (JavaScript) offers which standard construct for data validation of the input entered by the user.,Multiple Choice Question,"1, 2, 3, 4",Permit server-side,Client side Event,Server page access,Controlled loop constructs,,D,-,LEVEL 1
Aptitude - HCF & LCM,"<p>21 mango trees, 42 apple trees and 56 orange trees have to be planted in rows such that each row contains the same number of trees of one variety only. What is the minimum number of rows in which the above trees may be planted?</p>",Multiple Choice Question,"1, 2, 3, 4",3,15,17,20,,C,-,LEVEL 2
HTML,What is true about Virtualization?,Multiple Choice Question,"1, 2, 3, 4","In Virtualization, it is necessary to have well-compiled Multitenant.","In Virtualization, we analyze the strategy problems that customer might face",It assign a logical name to a physical resource and providing a pointer to that physical resource when demanded.,All of the above,-,C,-,LEVEL 1
LR - Number Series,"<p>24, 60, 120, 210, ?</p>",Multiple Choice Question,"1, 2, 3, 4",300,336,420,525,,B,,LEVEL 1
HTML,HTML5 include native audio and video support without the need for.,Multiple Choice Question,"1, 2, 3, 4",Flash,svg,canvas,none of the above,-,A,-,LEVEL 2
DSA Sorting,"The given array is arr = {3,4,5,2,1}. The number of iterations in bubble sort is,",Multiple Choice Question,"1, 2, 3, 4",4,5,3,2,,A,-,LEVEL 1
Javascript,JavaScript was invented at _____ Lab.,Multiple Choice Question,"1, 2, 3, 4",Google Lab,Netscape,AT&T Bell LAb,Sun Microsystem,,B,,LEVEL 2
Positioning and responsive webpages - DAY 4,Which of these is the right way to put an element behind the other?,Multiple Choice Question,"1, 2, 3, 4",z-index:-0,1,z-index:-1,None Of the Above,,C,-,LEVEL 1
Quiz 1,"There are 4 different algorithms. A1, A2, A3, A4 to solve a given problem with the order
log(n), log(log(n)), nlog(n), n/log(n) respectively. Which is the best algorithm?",Multiple Choice Question,"1, 2, 3, 4",A1,A2,A3,A4,,B,-,LEVEL 1
JS Functions,Can you assign a anonymous function to a variable?,Multiple Choice Question,"1, 2, 3, 4",TRUE,FALSE,,,,A,-,LEVEL 1
Sanskrit-lecture-2-quiz-1,"Fill in the blanks

 ----- नाम उमा ?",Multiple Choice Question,"1, 2, 3, 4",कस्य,कस्याः,,,,B,-,LEVEL 1
CSS,Which of the following is/are the values of text-decoration properties.<br>i) blink  ii) inherit  iii) strike-through  iv) over-line,Multiple Choice Question,"1, 2, 3, 4","i, ii and iii only","ii, iii and iv only","i, ii and iv only","All i, ii, iii and iv",-,C,,LEVEL 2
Node,Simple or complex functionality organized in a single or multiple JavaScript files which can be reused throughout your Node.js application is called ________ .,Multiple Choice Question,"1, 2, 3, 4",Module,Library,Package,Function,,A,-,LEVEL 1
"Binary, Decimal and Hexadecimal Conversion",What is the decimal equivalent of binary number 1100110?,Multiple Choice Question,"1, 3, 4",102,204,153,51,,A,-,LEVEL 1
Javascript,JavaScript Code can be called by using,Multiple Choice Question,"1, 2, 3, 4",RMI,Triggering Event,Preprocessor,Function/Method,,D,,LEVEL 2
CSS,Which of the following property aligns the flexible container’s items when the items do not use all available space on,Multiple Choice Question,"1, 2, 3, 4",wrap-content,fix-content,adjust-content,justify-content,-,D,,LEVEL 3
Js-easy-5jul,Why is this keyword not preferred in JavaScript?,Multiple Choice Question,"1, 2, 3, 4",Functions should not access the global objects,Functions should access the global objects,Highly memory consuming,Very inefficient to use,,A,-,LEVEL 1
CSS,Which of the following property defines the style for the right border of an element?,Multiple Choice Question,"1, 2, 3, 4",border-spacing,border-spacing,border-right,border-right-style,-,C,,LEVEL 3
Javascript,. What is the method to create a data frame ?,Multiple Choice Question,"1, 2, 3, 4",frame(data),frameData(),data.frame(),none of the mentioned,,C,,LEVEL 2
Feb quiz 9th may,Select the parent of an element ele using one of the following choices.,Multiple Choice Question,"1, 2, 3, 4",ele.parentElement,ele.parentContainer,ele.getParent(),ele.parentNode,,D,-,LEVEL 1
CSS,Which of the following property sets pitch or tone (high or low) for the synthesized speech when reading an element; the pitch may be specified absolutely or relative to the normal pitch for the voice-family used to read the text?,Multiple Choice Question,"1, 2, 3, 4",voice-volume,voice-check,voice-format,voice-pitch,None of these,D,,LEVEL 3
DSA OOPS,"<code>
public class Robot {
  // Other code here
  
public Robot() {
     // default constructor code here
}

     // draw a line from current location to the location specified
public void passLocation(int x, int y) {
    // more code
  }
}
</code>
Which is the right way to call the passLocation method above?",Multiple Choice Question,"1, 2, 3, 4","Robot.passLocation(5, 5);","Robot r = new Robot.passLocation(5, 5);","Robot r = new Robot( );
r.passLocation(5, 5);","Robot r = new Robot( );
r = r.passLocation(5, 5);",,C,-,LEVEL 1
React Basics,Which of these are true for React?,Multiple Choice Question,"1, 2, 3, 4",It uses virtual DOM instead of real DOM.,It uses server-side rendering.,It follows a uni-directional data flow or data binding.,All of these,,D,-,LEVEL 1
Javascript,Which function is a synonym for on() ?,Multiple Choice Question,"1, 2, 3, 4",add(),once(),listeners(),addListener(),,D,,LEVEL 2
Javascript,Which of the following statements about the arguments of addEventListener() is/are True.<br><br>i) The first argument to addEventListener() is the event type for which the handler is being registered.<br><br>ii) The second argument to addEventListener() is the function that should be invoked when the specified type of event occurs.<br><br>iii) The third argument to addEventListener() is a numerical value.,Multiple Choice Question,"1, 2, 3, 4",i and ii only,i and iii only,ii and iii only,"All i, ii and iii",,A,,LEVEL 2
Sanskrit-lecture-1-quiz-1,choose only अस्ति /नास्ति from given picture for नदी,Multiple Choice Question,"1, 2, 3, 4",अस्ति,नास्ति,,,,B,-,LEVEL 1
CSS,"CSS1:Developed in …….. by the W3C, describes CSS language and simple visual formatting for all HTML tags.",Multiple Choice Question,"1, 2, 3, 4",1992,1994,1995,1996,-,D,-,LEVEL 2
HTML,Which character is used to represent the closing of a tag in HTML?,Multiple Choice Question,"1, 2, 3, 4",/,\,!,?,-,A,,LEVEL 2
